ID	TARGET_ID	ID_REF	TARGET_REF	MENOR
2743	1	1213	1	0.015893571999998635
2746	1	514	1	1.0170400000042434E-4
2747	1	374	1	0.01820685000000566
2753	1	55	0	0.001656708000004059
2766	0	1653	0	0.03675765600000158
2767	1	1552	1	0.006016808999997902
2771	1	1198	1	7.596519999983897E-4
2772	1	96	1	0.003867641999997673
2773	1	1333	1	0.018614116000000624
2774	1	1596	0	0.012561623000001632
2775	0	1578	1	0.01438455200000055
2777	0	980	1	0.010330485000000333
2779	1	791	1	0.027354174000000397
2780	1	1178	1	0.002001398999999182
2781	0	955	0	0.019090909000002654
2782	1	663	1	0.01753898699999379
2783	0	1351	0	0.021702025000000735
2784	1	320	0	0.00723168399999885
2785	1	39	1	0.019808567999998417
2786	0	663	1	0.01781685499999952
2787	1	1333	1	0.01905299400000038
2790	1	293	1	0.02967980200000042
2794	1	575	1	0.017914970999997948
2795	1	1353	1	0.003270435000000127
2796	0	379	0	0.015003008999999956
2798	0	1596	0	0.0031163509999996286
2802	0	1771	1	0.045091000000000214
2803	1	489	0	0.005315931999999357
2804	1	569	1	0.015529764999998363
2809	0	771	0	1.4779699999856177E-4
2810	1	776	1	0.04155989399999882
2812	1	1238	0	0.0015434500000004459
2813	1	1747	1	0.002159779000001194
2814	1	212	1	0.008593796999999626
2815	1	828	1	0.013046853999999497
2816	1	751	1	0.0017779279999974307
2817	1	1177	1	0.11985684199999902
2818	1	1157	1	0.0022958259999983355
2819	1	725	1	0.005571635999999103
2821	1	74	1	0.018467610999997497
2823	1	1042	1	0.059045167000004506
2825	1	1098	0	0.027123223999999002
2830	1	1094	1	2.750550000008012E-4
2831	1	360	0	0.005283178999998306
2833	0	945	1	0.00242057600000134
2834	1	886	1	0.008891588000003114
2837	1	1384	1	0.002240048999998301
2838	1	1398	1	0.02060040799999885
2842	1	1179	1	0.019623873000008896
2844	1	1515	1	0.006271681999999057
2845	1	641	0	0.009102215000000857
2846	1	589	1	0.002412569999997949
2847	0	1410	1	0.0017602040000017638
2848	1	1731	1	0.053679894999979716
2851	0	354	1	0.015282739000000767
2852	1	169	0	0.005657661000001202
2853	1	769	1	0.030524944999999803
2855	1	135	0	0.012567887000000333
2858	0	1626	0	0.006696193999997213
2861	1	1717	1	0.014464115
2862	1	1058	1	0.00936861599999994
2866	0	1282	1	0.010536235999999644
2867	0	689	1	0.010629684999996947
2868	1	241	1	0.023209794999998312
2869	1	1541	1	0.02941331699999772
2875	1	1232	0	0.03744571399999752
2879	1	1226	1	0.007952836000000296
2881	0	849	0	7.888559999988942E-4
2883	1	448	1	0.010851900999997888
2888	1	33	1	0.003922714000002436
2889	0	568	1	0.004902276999999344
2890	0	1424	1	0.009345091999999777
2891	1	1503	1	6.650400000032253E-4
2892	1	373	1	0.03974595199999875
2893	1	1464	1	0.009061266999998097
2895	0	1777	1	0.007766729000002748
2896	0	94	1	0.006535724999998216
2898	1	39	1	0.0818671949999965
2899	1	1667	1	0.00851536199999714
2901	0	472	1	3.3611600000171826E-4
2902	1	1660	1	0.269549577999999
2905	1	135	0	0.03487665400000006
2907	0	402	1	0.00108558200000064
2914	1	1174	1	0.057176829999997736
2917	1	1383	1	0.006042174999999261
2919	0	493	1	0.02831056000000287
2920	1	1933	1	0.04506897100000162
2921	1	243	0	0.002202339999998415
2922	0	1142	1	0.001686096999997666
2923	0	96	1	0.04891131599999898
2926	1	1776	0	0.004700011000001059
2927	1	1127	1	0.05176138499999983
2930	1	711	1	0.02286307499999829
2931	1	1086	1	0.005852527000001384
2932	1	1354	1	0.014701615999999529
2933	1	126	1	1.1416000000075144E-4
2936	1	955	0	0.0027234929999977453
2937	1	169	0	0.00899152000000214
2939	1	449	1	7.905120000009092E-4
2943	1	169	0	0.008408886000001115
2945	1	339	0	0.004230603000000777
2949	1	1970	1	0.051577417000000736
2951	1	27	1	0.019393909000000598
2955	1	1278	1	0.01462719100000287
2957	1	1191	0	0.007432749999999988
2960	1	1179	1	0.03640090300000143
2962	1	1525	1	0.03200331499999853
2964	1	1544	1	0.004737406000001165
2966	0	691	1	0.0051911100000010535
2968	1	1535	1	0.0030757719999989774
2969	1	241	1	0.055345575999998786
2970	1	1730	1	0.004522866999999486
2972	1	1191	0	0.015421866999999256
2975	1	168	1	5.840890000010646E-4
2976	1	1444	1	0.00716779899999942
2977	1	438	0	0.03177486100000282
2978	1	964	0	0.017735439000000408
2979	1	1260	0	2.8401799999322463E-4
2981	0	568	1	0.005755885000001015
2984	1	751	1	0.007111769000003321
2985	1	1354	1	0.027325847000000403
2989	0	334	0	8.976969999983098E-4
2990	1	587	1	0.0018304390000025705
2991	1	241	1	4.2396200000194284E-4
2992	1	1373	1	0.010253433999998673
2994	1	285	0	0.002897374999999869
2996	1	226	1	0.002331527999999139
2997	1	559	0	1.9962999998845987E-5
2999	1	1056	1	0.001895538999999502
3000	1	1683	1	0.01369377600000199
3001	1	1752	1	0.010420548000000585
3002	1	415	1	0.014229364999999827
3004	1	40	1	0.020961626999998373
3008	1	1040	1	0.04195995400000141
3009	0	153	1	0.0036329100000014325
3010	1	1364	1	0.003693092000000897
3012	1	1634	1	0.0024422890000010966
3015	1	1877	1	0.005455189999998389
3016	1	1831	1	0.0036727340000037856
3017	1	911	1	0.00827451499999654
3018	1	689	1	0.02080960100000251
3021	1	1256	1	0.0011573010000018868
3026	1	200	1	0.016573916000000022
3028	0	424	0	1.6195999999712996E-4
3034	1	386	1	0.015216969000000358
3035	1	265	1	0.011436647000006683
3036	1	1360	0	0.01663123399999833
3038	1	988	0	0.03919576099999911
3039	0	1105	1	0.0012200560000015237
3040	1	739	1	0.0080157079999994
3043	1	518	0	0.021070900000001558
3046	1	252	1	0.0056994409999988616
3047	1	455	0	0.0024801459999992392
3050	0	1740	1	0.007451774000000633
3051	1	992	0	0.008375217000001989
3052	0	1261	0	0.003464098000002469
3054	1	1970	1	0.02238527399999768
3056	1	1247	1	0.028122998999998927
3062	1	489	0	0.017261739000002052
3073	1	1963	1	0.009888095000000874
3074	1	320	0	0.008553830999999512
3076	1	98	1	0.01633277299999758
3078	0	387	1	0.0035453690000002425
3079	1	1722	0	0.015791727000000977
3084	1	464	0	0.001120346999999633
3085	1	1924	1	0.029502070999999574
3087	1	1903	1	0.01806221899999816
3088	1	1764	1	6.955329999973614E-4
3095	1	227	1	0.08248390199999944
3096	1	1564	1	0.0018594430000007378
3098	1	1351	0	0.012345651999999818
3100	1	57	1	0.04379076199999821
3101	1	1525	1	0.023988638999998813
3104	0	1740	1	0.02241677999999947
3110	1	681	0	3.441289999988051E-4
3111	1	203	0	0.5291468890000015
3112	0	695	1	0.006589942999999376
3113	1	611	1	0.0047045440000017535
3115	1	46	1	0.007750187000001851
3118	1	1001	1	0.00845231500000132
3120	1	1662	1	0.011825795999998556
3122	1	725	1	0.009711085000001951
3127	0	135	0	0.034481444000002526
3138	1	725	1	0.010123376000001905
3139	1	601	1	0.11833627599999996
3142	0	518	0	0.027581447000001313
3146	1	1434	1	0.039572767999997094
3148	1	719	1	0.047453377000000074
3150	0	1606	1	0.02201589899999945
3152	1	489	0	7.148790000002236E-4
3153	1	401	1	0.01439916599999913
3155	1	1760	0	0.013253178999996784
3159	0	1569	0	0.005163224999999105
3163	0	1294	1	0.010504611000000219
3166	1	938	1	0.022513100999990154
3167	1	751	1	0.01355081300000216
3169	1	1606	1	0.022617264000002635
3170	0	613	1	0.00329184999999943
3172	1	725	1	0.0022384769999987952
3179	1	1892	1	0.002998479000000387
3180	0	896	1	0.00428070799999869
3183	1	362	1	0.017326833999995017
3184	1	1635	1	0.003475910999998888
3185	1	580	1	0.008381407999998425
3187	0	24	1	0.025341426999998973
3189	0	1884	0	0.0034587210000025514
3191	0	1742	0	0.04822343799999951
3193	1	1153	1	0.003811659000001466
3196	0	1509	1	0.020971951000004152
3199	1	647	1	0.0015433120000016842
3200	0	1241	1	0.005528622000000816
3201	1	986	1	0.0012340059999988995
3205	1	8	1	0.02047695100000224
3206	1	1930	1	0.00732073500000352
3211	1	1771	1	0.014914028999999829
3215	1	1910	1	0.010708279000001708
3216	1	969	1	0.007427776999999747
3217	0	442	0	0.032061386999998165
3218	1	1420	1	0.03560091599999882
3220	1	77	1	0.0012657659999990578
3221	1	122	1	0.008142137999997967
3223	1	1052	0	0.0028019750000030097
3225	0	683	0	0.009165971999999023
3226	1	797	1	0.0034786290000012876
3228	1	1897	1	0.04123037600000101
3236	1	1109	1	0.03938321299999892
3245	1	1185	1	0.014632488000006605
3246	1	386	1	0.01752889500000121
3247	1	990	1	0.008320096999999915
3248	1	1664	1	0.0023185790000015416
3249	1	1620	0	0.013386537999998893
3250	1	1084	1	0.019231951000001857
3251	1	554	0	0.01662460400000043
3252	1	435	0	0.0050948119999993935
3253	1	886	1	5.979790000008034E-4
3254	0	1205	1	0.011086988999996827
3261	1	449	1	0.005829364999998976
3265	1	261	1	0.0058688749999995515
3269	1	739	1	0.003670223000002526
3270	1	1775	1	0.010960126000003179
3272	1	1667	1	0.05372091400000345
3273	1	582	1	0.08863016399998558
3285	1	849	0	0.0010166320000026818
3286	1	666	0	0.005000329999999664
3287	1	208	0	0.002930106000000876
3289	1	1881	1	0.005998257999998868
3291	1	28	0	0.0016915479999997096
3294	1	372	1	0.010537079999998866
3298	1	216	1	0.010147623999997801
3302	1	1388	1	0.003943440999999215
3303	1	538	1	0.03737739599999701
3304	1	1251	1	0.0019996240000006438
3305	1	55	0	0.002350136000002667
3306	1	224	1	0.014843683000000052
3310	1	1541	1	0.016749264999999625
3314	1	1373	1	0.00867620300000116
3315	1	74	1	0.06528060900000421
3316	1	1115	1	0.012155300000006086
3317	1	476	1	0.06094011599999849
3318	0	995	0	0.019865288000000536
