ID	TARGET_ID	ID_REF	TARGET_REF	MENOR
23205	1	10152	1	0.005883074999999849
23209	1	9314	0	0.013443573000001319
23210	1	17330	1	9.001809999937826E-4
23212	1	11533	1	5.593180000005304E-4
23216	1	14307	1	0.005680816999996452
23219	1	16511	1	5.507080000017872E-4
23221	0	2308	1	6.176769999992615E-4
23222	1	20485	0	6.240900000005212E-4
23225	1	16571	1	4.1347900000032745E-4
23228	0	15177	1	1.4430000002452203E-5
23231	1	15577	1	6.533789999997319E-4
23232	1	9297	1	0.005446004999998255
23233	1	20798	1	0.0012033030000000444
23234	0	2617	1	1.804400000038342E-5
23235	0	18570	0	2.3567900000442954E-4
23238	1	4498	1	0.001225449000002321
23240	1	15113	0	1.5539699999900236E-4
23241	1	2498	0	6.869510000022672E-4
23242	1	19599	1	0.00455625499999579
23243	1	14609	1	0.0011193329999974466
23245	0	690	1	5.255350000015202E-4
23247	1	22484	1	2.7244499999845573E-4
23248	1	17321	1	3.629530000015535E-4
23250	1	3764	0	5.905200000055899E-5
23252	0	15708	1	2.6839099999653726E-4
23253	1	7816	1	6.866330000008247E-4
23254	1	5389	1	0.0030218560000028205
23255	0	8943	1	0.0026998610000030787
23256	0	16673	0	0.0065795050000025945
23258	1	10428	1	5.640400000395118E-5
23259	0	15948	1	0.0014907639999997002
23260	0	14205	1	0.0014348839999982488
23262	0	14579	1	2.2068100000094404E-4
23263	0	14689	1	0.001279316000000641
23265	0	18188	1	0.001518235000003365
23266	1	22676	1	0.00401378900000271
23268	1	10634	0	0.0019526410000005878
23269	0	4004	1	5.372089999928775E-4
23270	0	6067	1	7.690469999985794E-4
23271	1	16994	1	0.0018746210000006869
23272	1	10551	1	3.751269999998641E-4
23273	1	1854	1	0.00427462000000034
23274	1	11102	1	8.717520000007806E-4
23276	1	6250	1	1.0445999999220135E-5
23281	1	21663	0	5.14831000000715E-4
23285	1	5284	0	0.002690110000000523
23286	1	5269	1	2.0395999999855974E-4
23289	1	10793	0	2.3351299999685438E-4
23290	1	14453	1	1.4715200000159356E-4
23291	1	6767	0	2.1207600000217042E-4
23292	1	12970	0	0.001579184999999761
23293	1	16983	1	8.696869999980095E-4
23295	1	1854	1	0.0023326600000004305
23296	1	10101	1	3.7398399999988285E-4
23300	1	7935	1	0.0016319839999958674
23301	0	21736	1	8.913699999979485E-5
23302	1	8057	1	4.676100000111649E-5
23303	1	1097	1	0.009981528999999156
23304	1	2158	1	2.4201800000023255E-4
23307	1	7132	1	2.6338200000086687E-4
23308	1	18706	0	0.003088305999999541
23309	0	10740	0	0.0022240930000008152
23310	1	12011	1	9.98212000000942E-4
23312	1	7952	1	7.378129999962013E-4
23316	1	5865	1	1.326429999997103E-4
23318	1	7028	0	4.1479399999810873E-4
23322	1	10804	1	1.001910000013595E-4
23325	0	9451	1	9.176489999997983E-4
23326	0	6697	1	0.0017992470000018912
23327	0	11426	0	6.947500000142881E-5
23330	1	7740	1	0.0038243370000001775
